"iteration" "repeats" "bootstrap_sample" "knn" "tree" "svm"
"1" 1 1 1 0.6559 0.6998 0.6231
"2" 2 1 2 0.7225 0.7387 0.7082
"3" 3 1 3 0.7576 0.7544 0.7019
"4" 4 1 4 0.7265 0.7377 0.6491
"5" 5 1 5 0.7421 0.7811 0.6759
"6" 6 1 6 0.7468 0.7212 0.689
"7" 7 1 7 0.7382 0.7045 0.6686
"8" 8 1 8 0.7249 0.7156 0.6913
"9" 9 1 9 0.7275 0.7396 0.6585
"10" 10 1 10 0.7253 0.7708 0.6616
"11" 11 1 11 0.7413 0.7524 0.6764
"12" 12 1 12 0.7376 0.7573 0.6843
"13" 13 1 13 0.7486 0.7718 0.6851
"14" 14 1 14 0.6991 0.7515 0.6691
"15" 15 1 15 0.7279 0.7459 0.6778
"16" 16 1 16 0.7194 0.7659 0.7072
"17" 17 1 17 0.7546 0.7396 0.6694
"18" 18 1 18 0.7459 0.7452 0.721
"19" 19 1 19 0.7277 0.7275 0.6958
"20" 20 1 20 0.7034 0.7186 0.6503
"21" 21 1 21 0.7356 0.6957 0.6441
"22" 22 1 22 0.7309 0.778 0.6809
"23" 23 1 23 0.7326 0.7532 0.6977
"24" 24 1 24 0.7468 0.7492 0.7236
"25" 25 1 25 0.7535 0.7422 0.6723
"26" 26 1 26 0.7078 0.7425 0.6792
"27" 27 1 27 0.6966 0.7565 0.6914
"28" 28 1 28 0.7718 0.7492 0.7305
"29" 29 1 29 0.6863 0.6821 0.6567
"30" 30 1 30 0.7579 0.7713 0.695
"31" 31 1 31 0.7348 0.7205 0.6362
"32" 32 1 32 0.7618 0.6862 0.6895
"33" 33 1 33 0.6801 0.6952 0.6732
"34" 34 1 34 0.685 0.6461 0.6547
"35" 35 1 35 0.756 0.7607 0.6867
"36" 36 1 36 0.7647 0.698 0.7186
"37" 37 1 37 0.7067 0.7464 0.6535
"38" 38 1 38 0.7427 0.7275 0.6733
"39" 39 1 39 0.7186 0.6889 0.6315
"40" 40 1 40 0.7437 0.7845 0.6997
"41" 41 1 41 0.7622 0.7144 0.6656
"42" 42 1 42 0.7211 0.7238 0.6684
"43" 43 1 43 0.6899 0.7638 0.6638
"44" 44 1 44 0.7046 0.7154 0.6839
"45" 45 1 45 0.7411 0.7463 0.7036
"46" 46 1 46 0.7176 0.7198 0.6547
"47" 47 1 47 0.753 0.7102 0.6845
"48" 48 1 48 0.7353 0.7544 0.6575
"49" 49 1 49 0.7096 0.7978 0.663
"50" 50 1 50 0.6891 0.6796 0.6717
"51" 51 1 51 0.6705 0.7308 0.6024
"52" 52 1 52 0.7494 0.7191 0.6905
"53" 53 1 53 0.6885 0.7395 0.6475
"54" 54 1 54 0.7707 0.7383 0.7061
"55" 55 1 55 0.7365 0.7617 0.6884
"56" 56 1 56 0.7886 0.7412 0.6929
"57" 57 1 57 0.7583 0.7293 0.7087
"58" 58 1 58 0.7068 0.7261 0.6657
"59" 59 1 59 0.7121 0.6955 0.6876
"60" 60 1 60 0.7476 0.7474 0.7236
"61" 61 1 61 0.747 0.7682 0.7266
"62" 62 1 62 0.7093 0.741 0.6646
"63" 63 1 63 0.735 0.7857 0.7211
"64" 64 1 64 0.7238 0.7309 0.6581
"65" 65 1 65 0.7175 0.7293 0.713
"66" 66 1 66 0.7228 0.7753 0.6571
"67" 67 1 67 0.7417 0.7692 0.7198
"68" 68 1 68 0.6839 0.6975 0.6415
"69" 69 1 69 0.7312 0.7039 0.6474
"70" 70 1 70 0.7785 0.7301 0.7132
"71" 71 1 71 0.7081 0.7293 0.6616
"72" 72 1 72 0.7337 0.7117 0.6701
"73" 73 1 73 0.7597 0.7807 0.6788
"74" 74 1 74 0.7377 0.7369 0.6837
"75" 75 1 75 0.6861 0.7185 0.69
"76" 76 1 76 0.7898 0.788 0.7121
"77" 77 1 77 0.7236 0.6973 0.6599
"78" 78 1 78 0.6874 0.7581 0.635
"79" 79 1 79 0.6703 0.7312 0.6661
"80" 80 1 80 0.7281 0.7064 0.6812
"81" 81 1 81 0.7179 0.7024 0.6766
"82" 82 1 82 0.711 0.696 0.6455
"83" 83 1 83 0.7367 0.7239 0.6715
"84" 84 1 84 0.7421 0.726 0.6955
"85" 85 1 85 0.739 0.7647 0.6803
"86" 86 1 86 0.7312 0.7195 0.6861
"87" 87 1 87 0.7333 0.6992 0.6853
"88" 88 1 88 0.7382 0.7573 0.703
"89" 89 1 89 0.7817 0.7368 0.7015
"90" 90 1 90 0.726 0.7985 0.6787
"91" 91 1 91 0.7622 0.7674 0.7324
"92" 92 1 92 0.7232 0.7637 0.6994
"93" 93 1 93 0.7005 0.7471 0.6735
"94" 94 1 94 0.7402 0.7031 0.6558
"95" 95 1 95 0.7431 0.734 0.6613
"96" 96 1 96 0.7281 0.7708 0.6664
"97" 97 1 97 0.7587 0.6912 0.6853
"98" 98 1 98 0.7103 0.7109 0.6602
"99" 99 1 99 0.738 0.7053 0.6585
"100" 100 1 100 0.7352 0.7781 0.6699
"101" 101 2 1 0.7669 0.7661 0.7085
"102" 102 2 2 0.6902 0.7836 0.6776
"103" 103 2 3 0.7721 0.7589 0.6987
"104" 104 2 4 0.7488 0.7503 0.6899
"105" 105 2 5 0.7273 0.7059 0.6674
"106" 106 2 6 0.7233 0.7695 0.6756
"107" 107 2 7 0.7014 0.6945 0.6227
"108" 108 2 8 0.7233 0.7473 0.6918
"109" 109 2 9 0.7386 0.7351 0.6785
"110" 110 2 10 0.7471 0.7188 0.6918
"111" 111 2 11 0.7516 0.7729 0.6712
"112" 112 2 12 0.7294 0.7184 0.7127
"113" 113 2 13 0.7448 0.7046 0.6859
"114" 114 2 14 0.7495 0.7293 0.7096
"115" 115 2 15 0.6897 0.7121 0.6517
"116" 116 2 16 0.7293 0.7456 0.6972
"117" 117 2 17 0.7184 0.758 0.6513
"118" 118 2 18 0.744 0.7039 0.6657
"119" 119 2 19 0.7299 0.7056 0.6842
"120" 120 2 20 0.7479 0.782 0.6776
"121" 121 2 21 0.6837 0.6926 0.6431
"122" 122 2 22 0.7684 0.7466 0.7116
"123" 123 2 23 0.7507 0.7836 0.7002
"124" 124 2 24 0.7058 0.807 0.6995
"125" 125 2 25 0.7308 0.8041 0.7029
"126" 126 2 26 0.8005 0.7481 0.7208
"127" 127 2 27 0.6972 0.7489 0.6807
"128" 128 2 28 0.7256 0.7389 0.6479
"129" 129 2 29 0.6924 0.7275 0.6685
"130" 130 2 30 0.7112 0.7531 0.6458
"131" 131 2 31 0.7571 0.7742 0.7137
"132" 132 2 32 0.7558 0.7472 0.709
"133" 133 2 33 0.7349 0.7486 0.693
"134" 134 2 34 0.7282 0.7025 0.6618
"135" 135 2 35 0.7653 0.777 0.7151
"136" 136 2 36 0.7432 0.7098 0.681
"137" 137 2 37 0.7571 0.765 0.6949
"138" 138 2 38 0.7507 0.707 0.6828
"139" 139 2 39 0.724 0.7855 0.7037
"140" 140 2 40 0.729 0.7452 0.6945
"141" 141 2 41 0.6892 0.7156 0.6818
"142" 142 2 42 0.7547 0.7762 0.6801
"143" 143 2 43 0.7215 0.7731 0.6691
"144" 144 2 44 0.6877 0.7271 0.6828
"145" 145 2 45 0.6996 0.7242 0.6471
"146" 146 2 46 0.7039 0.7236 0.6918
"147" 147 2 47 0.7149 0.709 0.681
"148" 148 2 48 0.7136 0.7631 0.703
"149" 149 2 49 0.7042 0.721 0.6429
"150" 150 2 50 0.7275 0.7473 0.6778
"151" 151 2 51 0.7381 0.7412 0.6753
"152" 152 2 52 0.7231 0.7092 0.6556
"153" 153 2 53 0.7478 0.7571 0.6886
"154" 154 2 54 0.7211 0.7174 0.6823
"155" 155 2 55 0.7693 0.7695 0.7078
"156" 156 2 56 0.7254 0.7522 0.7068
"157" 157 2 57 0.7272 0.7888 0.6486
"158" 158 2 58 0.735 0.7099 0.6947
"159" 159 2 59 0.7265 0.7684 0.7112
"160" 160 2 60 0.75 0.7387 0.6984
"161" 161 2 61 0.7802 0.7434 0.7259
"162" 162 2 62 0.736 0.7224 0.6765
"163" 163 2 63 0.732 0.6936 0.6702
"164" 164 2 64 0.7363 0.7593 0.6776
"165" 165 2 65 0.7443 0.7783 0.6691
"166" 166 2 66 0.7354 0.7117 0.677
"167" 167 2 67 0.716 0.7543 0.7129
"168" 168 2 68 0.7049 0.7199 0.6833
"169" 169 2 69 0.707 0.6721 0.6702
"170" 170 2 70 0.7301 0.7111 0.6955
"171" 171 2 71 0.7514 0.7941 0.6958
"172" 172 2 72 0.7534 0.7457 0.7021
"173" 173 2 73 0.7432 0.7573 0.682
"174" 174 2 74 0.795 0.8142 0.7122
"175" 175 2 75 0.7612 0.7323 0.6865
"176" 176 2 76 0.7003 0.7684 0.659
"177" 177 2 77 0.7165 0.7156 0.6445
"178" 178 2 78 0.7278 0.7571 0.6529
"179" 179 2 79 0.7262 0.7662 0.6833
"180" 180 2 80 0.7207 0.7296 0.6918
"181" 181 2 81 0.7209 0.7295 0.6664
"182" 182 2 82 0.7058 0.7521 0.6382
"183" 183 2 83 0.7067 0.7066 0.647
"184" 184 2 84 0.68 0.6474 0.6377
"185" 185 2 85 0.7109 0.7121 0.6301
"186" 186 2 86 0.7103 0.7524 0.7131
"187" 187 2 87 0.7201 0.7178 0.6682
"188" 188 2 88 0.7949 0.7782 0.705
"189" 189 2 89 0.7794 0.7621 0.7011
"190" 190 2 90 0.749 0.7714 0.6736
"191" 191 2 91 0.7425 0.758 0.693
"192" 192 2 92 0.7296 0.7501 0.6875
"193" 193 2 93 0.7174 0.7632 0.6487
"194" 194 2 94 0.7476 0.7307 0.6905
"195" 195 2 95 0.7258 0.7525 0.6894
"196" 196 2 96 0.7213 0.7406 0.7011
"197" 197 2 97 0.7317 0.7351 0.708
"198" 198 2 98 0.7357 0.7345 0.671
"199" 199 2 99 0.7683 0.7882 0.7347
"200" 200 2 100 0.7078 0.7403 0.6548
"201" 201 3 1 0.7594 0.7794 0.7394
"202" 202 3 2 0.7163 0.7134 0.6536
"203" 203 3 3 0.6961 0.7408 0.636
"204" 204 3 4 0.7177 0.7457 0.676
"205" 205 3 5 0.7606 0.765 0.691
"206" 206 3 6 0.7399 0.7682 0.6844
"207" 207 3 7 0.7646 0.7795 0.6894
"208" 208 3 8 0.7657 0.7323 0.7025
"209" 209 3 9 0.7457 0.7555 0.6743
"210" 210 3 10 0.738 0.7562 0.6751
"211" 211 3 11 0.7263 0.7427 0.7121
"212" 212 3 12 0.7295 0.7813 0.6788
"213" 213 3 13 0.7684 0.752 0.6839
"214" 214 3 14 0.703 0.7099 0.6582
"215" 215 3 15 0.7561 0.8034 0.6959
"216" 216 3 16 0.7343 0.7577 0.6736
"217" 217 3 17 0.7625 0.787 0.7167
"218" 218 3 18 0.7378 0.7078 0.6625
"219" 219 3 19 0.7128 0.6994 0.6349
"220" 220 3 20 0.7387 0.7184 0.7147
"221" 221 3 21 0.733 0.7553 0.6725
"222" 222 3 22 0.7383 0.6724 0.6701
"223" 223 3 23 0.7182 0.7266 0.6724
"224" 224 3 24 0.7422 0.7797 0.7067
"225" 225 3 25 0.7389 0.7524 0.7274
"226" 226 3 26 0.7169 0.6883 0.6662
"227" 227 3 27 0.7153 0.7328 0.6994
"228" 228 3 28 0.7453 0.748 0.697
"229" 229 3 29 0.7735 0.7866 0.665
"230" 230 3 30 0.7363 0.7344 0.6803
"231" 231 3 31 0.7556 0.7505 0.6999
"232" 232 3 32 0.7554 0.7361 0.6749
"233" 233 3 33 0.7526 0.6483 0.6685
