"iteration" "repeats" "bootstrap_sample" "knn" "nn" "tree" "svm"
"1" 1 1 1 0.6559 0.9839 0.6998 0.6231
"2" 2 1 2 0.7225 0.941 0.7387 0.7082
"3" 3 1 3 0.7576 1.3885 0.7544 0.7019
"4" 4 1 4 0.7265 0.7555 0.7377 0.6491
"5" 5 1 5 0.7421 0.8029 0.7811 0.6759
"6" 6 1 6 0.7468 0.8262 0.7212 0.689
"7" 7 1 7 0.7382 1.8155 0.7045 0.6686
"8" 8 1 8 0.7249 0.7806 0.7156 0.6913
"9" 9 1 9 0.7275 0.8131 0.7396 0.6585
"10" 10 1 10 0.7253 0.7859 0.7708 0.6616
"11" 11 1 11 0.7413 0.9758 0.7524 0.6764
"12" 12 1 12 0.7376 0.874 0.7573 0.6843
"13" 13 1 13 0.7486 0.8333 0.7718 0.6851
"14" 14 1 14 0.6991 0.9196 0.7515 0.6691
"15" 15 1 15 0.7279 0.8499 0.7459 0.6778
"16" 16 1 16 0.7194 0.9999 0.7659 0.7072
"17" 17 1 17 0.7546 0.9884 0.7396 0.6694
"18" 18 1 18 0.7459 1.2611 0.7452 0.721
"19" 19 1 19 0.7277 0.8797 0.7275 0.6958
"20" 20 1 20 0.7034 0.8951 0.7186 0.6503
"21" 21 1 21 0.7356 0.9138 0.6957 0.6441
"22" 22 1 22 0.7309 0.9888 0.778 0.6809
"23" 23 1 23 0.7326 0.8136 0.7532 0.6977
"24" 24 1 24 0.7468 1.148 0.7492 0.7236
"25" 25 1 25 0.7535 0.8852 0.7422 0.6723
"26" 26 1 26 0.7078 1.3559 0.7425 0.6792
"27" 27 1 27 0.6966 1.0791 0.7565 0.6914
"28" 28 1 28 0.7718 1.0039 0.7492 0.7305
"29" 29 1 29 0.6863 0.9251 0.6821 0.6567
"30" 30 1 30 0.7579 1.8862 0.7713 0.695
"31" 31 1 31 0.7348 2.5013 0.7205 0.6362
"32" 32 1 32 0.7618 0.8637 0.6862 0.6895
"33" 33 1 33 0.6801 0.8055 0.6952 0.6732
"34" 34 1 34 0.685 1.0711 0.6461 0.6547
"35" 35 1 35 0.756 0.8874 0.7607 0.6867
"36" 36 1 36 0.7647 1.2597 0.698 0.7186
"37" 37 1 37 0.7067 0.8456 0.7464 0.6535
"38" 38 1 38 0.7427 0.9611 0.7275 0.6733
"39" 39 1 39 0.7186 0.7997 0.6889 0.6315
"40" 40 1 40 0.7437 0.782 0.7845 0.6997
"41" 41 1 41 0.7622 0.9071 0.7144 0.6656
"42" 42 1 42 0.7211 1.0222 0.7238 0.6684
"43" 43 1 43 0.6899 0.8694 0.7638 0.6638
"44" 44 1 44 0.7046 0.9128 0.7154 0.6839
"45" 45 1 45 0.7411 0.8195 0.7463 0.7036
"46" 46 1 46 0.7176 1.1017 0.7198 0.6547
"47" 47 1 47 0.753 1.0086 0.7102 0.6845
"48" 48 1 48 0.7353 1.0081 0.7544 0.6575
"49" 49 1 49 0.7096 2.1284 0.7978 0.663
"50" 50 1 50 0.6891 0.7804 0.6796 0.6717
"51" 51 1 51 0.6705 0.7221 0.7308 0.6024
"52" 52 1 52 0.7494 0.8426 0.7191 0.6905
"53" 53 1 53 0.6885 0.7554 0.7395 0.6475
"54" 54 1 54 0.7707 0.8464 0.7383 0.7061
"55" 55 1 55 0.7365 1.3133 0.7617 0.6884
"56" 56 1 56 0.7886 0.8601 0.7412 0.6929
"57" 57 1 57 0.7583 2.4319 0.7293 0.7087
"58" 58 1 58 0.7068 0.8758 0.7261 0.6657
"59" 59 1 59 0.7121 0.8688 0.6955 0.6876
"60" 60 1 60 0.7476 0.9806 0.7474 0.7236
"61" 61 1 61 0.747 0.9001 0.7682 0.7266
"62" 62 1 62 0.7093 0.9537 0.741 0.6646
"63" 63 1 63 0.735 0.9077 0.7857 0.7211
"64" 64 1 64 0.7238 0.9661 0.7309 0.6581
"65" 65 1 65 0.7175 0.8499 0.7293 0.713
"66" 66 1 66 0.7228 0.8197 0.7753 0.6571
"67" 67 1 67 0.7417 1.1773 0.7692 0.7198
"68" 68 1 68 0.6839 0.7896 0.6975 0.6415
"69" 69 1 69 0.7312 0.8382 0.7039 0.6474
"70" 70 1 70 0.7785 0.8817 0.7301 0.7132
"71" 71 1 71 0.7081 2.162 0.7293 0.6616
"72" 72 1 72 0.7337 1.3526 0.7117 0.6701
"73" 73 1 73 0.7597 0.8 0.7807 0.6788
"74" 74 1 74 0.7377 1.1238 0.7369 0.6837
"75" 75 1 75 0.6861 0.8431 0.7185 0.69
